rxn,p(gender),p(genotype),p(diet),"p(gender,genotype)","p(gender,diet)","p(genotype,diet)","p(gender,genotype,diet)"
13_CIS_RETNte_b,0.0709197269627746,0.7087792971610323,0.06871947673599936,0.7087792971610323,0.08655750635035554,0.3826967066770909,0.17786505113383733
13_CIS_RETNte_f,0.0709197269627746,0.7087792971610323,0.06871947673599936,0.7087792971610323,0.08655750635035554,0.3826967066770909,0.17786505113383733
1331TACRhr,0.3272868812797856,0.3272868812797856,0.3826967066770881,0.3272868812797856,0.382696706677092,0.38269670667709144,0.38269670667708977
1331TACRtev,0.3272868812797856,0.3272868812797856,0.3826967066770881,0.3272868812797856,0.382696706677092,0.38269670667709144,0.38269670667708977
13DMThr,0.3272868812797856,0.3272868812797856,0.3826967066770909,0.3272868812797856,0.3826967066770909,0.3826967066770909,0.3826967066770909
13DMTitr_b,0.09609990712790006,0.5690799951675936,0.3826967066770892,0.569079995167592,0.38269670667708977,0.7197958201909995,0.7197958201909984
13DMTitr_f,0.09609990712790006,0.5690799951675936,0.3826967066770892,0.569079995167592,0.38269670667708977,0.7197958201909995,0.7197958201909984
13DMTtep_b,0.09609990712790006,0.5690799951675936,0.3826967066770892,0.569079995167592,0.38269670667708977,0.7197958201909995,0.7197958201909984
13DMTtep_f,0.09609990712790006,0.5690799951675936,0.3826967066770892,0.569079995167592,0.38269670667708977,0.7197958201909995,0.7197958201909984
13HTACRitr_b,0.3272868812797856,0.3272868812797856,0.3826967066770881,0.3272868812797856,0.382696706677092,0.38269670667709144,0.38269670667708977
13HTACRitr_f,0.3272868812797856,0.3272868812797856,0.3826967066770881,0.3272868812797856,0.382696706677092,0.38269670667709144,0.38269670667708977
1513DTACRhr,0.170141553273702,1.0,0.6127097573297662,1.0,0.6127097573297653,0.24331547469229708,0.24331547469229672
1513DTALThr,0.170141553273702,1.0,0.6127097573297662,1.0,0.6127097573297653,0.24331547469229708,0.24331547469229672
1513TACRitr_b,0.170141553273702,1.0,0.6127097573297662,1.0,0.6127097573297653,0.24331547469229708,0.24331547469229672
1513TACRitr_f,0.170141553273702,1.0,0.6127097573297662,1.0,0.6127097573297653,0.24331547469229708,0.24331547469229672
1513TACRtep_b,0.170141553273702,1.0,0.6127097573297662,1.0,0.6127097573297653,0.24331547469229708,0.24331547469229672
1513TACRtep_f,0.170141553273702,1.0,0.6127097573297662,1.0,0.6127097573297653,0.24331547469229708,0.24331547469229672
1531TACRitr_b,0.3272868812797856,0.3272868812797856,0.3826967066770881,0.3272868812797856,0.382696706677092,0.38269670667709144,0.38269670667708977
1531TACRitr_f,0.3272868812797856,0.3272868812797856,0.3826967066770881,0.3272868812797856,0.382696706677092,0.38269670667709144,0.38269670667708977
1531TACRtev,0.3272868812797856,0.3272868812797856,0.3826967066770881,0.3272868812797856,0.382696706677092,0.38269670667709144,0.38269670667708977
1531TALThr,0.3272868812797856,0.3272868812797856,0.3826967066770881,0.3272868812797856,0.382696706677092,0.38269670667709144,0.38269670667708977
15DMThr,0.3272868812797856,0.3272868812797856,0.3826967066770909,0.3272868812797856,0.3826967066770909,0.3826967066770909,0.3826967066770909
15DMTitr_b,0.09609990712790006,0.5690799951675936,0.3826967066770892,0.569079995167592,0.38269670667708977,0.7197958201909995,0.7197958201909984
15DMTitr_f,0.09609990712790006,0.5690799951675936,0.3826967066770892,0.569079995167592,0.38269670667708977,0.7197958201909995,0.7197958201909984
15DMTtep_b,0.09609990712790006,0.5690799951675936,0.3826967066770892,0.569079995167592,0.38269670667708977,0.7197958201909995,0.7197958201909984
15DMTtep_f,0.09609990712790006,0.5690799951675936,0.3826967066770892,0.569079995167592,0.38269670667708977,0.7197958201909995,0.7197958201909984
15KPROSTGF2t_b,0.3272868812797856,0.7417773240157116,0.8952969202475526,0.3272868812797856,0.7197958201909995,0.2556587269626083,0.7197958201909995
15KPROSTGF2t_f,0.3272868812797856,0.7417773240157116,0.8952969202475526,0.3272868812797856,0.7197958201909995,0.2556587269626083,0.7197958201909995
1PPDCRp,0.1466556460682006,0.1466556460682006,0.19522821099709706,0.6216287223139874,0.4831174622668156,0.4831174622668156,0.19522821099709825
2DR1PP,0.6867108682606167,0.05236953532427911,0.08999075415449859,0.6867108682606142,0.08999075415449771,0.089990754154498,0.0899907541544983
