rxn,q(gender),q(genotype),q(diet),"q(gender,genotype)","q(gender,diet)","q(genotype,diet)","q(gender,genotype,diet)"
13_CIS_RETNte_b,0.8737236932231282,0.8241086871085709,0.8593985044417837,0.8358173351221353,0.8702069355586485,0.573115539909205,1.0
13_CIS_RETNte_f,0.8737236932231282,0.8241086871085709,0.8593985044417837,0.8358173351221353,0.8702069355586485,0.573115539909205,1.0
1331TACRhr,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.6207327933383019,0.8702069355586485,0.573115539909205,1.0
1331TACRtev,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.6207327933383019,0.8702069355586485,0.573115539909205,1.0
13DMThr,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.6207327933383019,0.8702069355586485,0.573115539909205,1.0
13DMTitr_b,0.8737236932231282,0.7353740296836329,0.8593985044417837,0.7351539237184478,0.8702069355586485,0.8104979806794569,1.0
13DMTitr_f,0.8737236932231282,0.7353740296836329,0.8593985044417837,0.7351539237184478,0.8702069355586485,0.8104979806794569,1.0
13DMTtep_b,0.8737236932231282,0.7353740296836329,0.8593985044417837,0.7351539237184478,0.8702069355586485,0.8104979806794569,1.0
13DMTtep_f,0.8737236932231282,0.7353740296836329,0.8593985044417837,0.7351539237184478,0.8702069355586485,0.8104979806794569,1.0
13HTACRitr_b,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.6207327933383019,0.8702069355586485,0.573115539909205,1.0
13HTACRitr_f,0.8737236932231282,0.6169962528215929,0.8593985044417837,0.6207327933383019,0.8702069355586485,0.573115539909205,1.0
1513DTACRhr,0.8737236932231282,1.0,0.8593985044417837,1.0,0.8702069355586485,0.573115539909205,1.0
1513DTALThr,0.8737236932231282,1.0,0.8593985044417837,1.0,0.8702069355586485,0.573115539909205,1.0
1513TACRitr_b,0.8737236932231282,1.0,0.8593985044417837,1.0,0.8702069355586485,0.573115539909205,1.0
1513TACRitr_f,0.8737236932231282,1.0,0.8593985044417837,1.0,0.8702069355586485,0.573115539909205,1.0
1513TACRtep_b,0.8737236932231282,1.0,0.8593985044417837,1.0,0.8702069355586485,0.573115539909205,1.0
1513TACRtep_f,0.8737236932231282,1.0,0.8593985044417837,1.0,0.8702069355586485,0.573115539909205,1.0
