subsystem,F_WT_(LFnC:HFnC),F_WT_(LFnC<HFnC),F_WT_(LFnC>HFnC),F_WT_(LFnC:HFC),F_WT_(LFnC<HFC),F_WT_(LFnC>HFC),F_WT_(HFnC:HFC),F_WT_(HFnC<HFC),F_WT_(HFnC>HFC),F_KO_(LFnC:HFnC),F_KO_(LFnC<HFnC),F_KO_(LFnC>HFnC),F_KO_(LFnC:HFC),F_KO_(LFnC<HFC),F_KO_(LFnC>HFC),F_KO_(HFnC:HFC),F_KO_(HFnC<HFC),F_KO_(HFnC>HFC),F_(LFnC:HFnC),F_(LFnC<HFnC),F_(LFnC>HFnC),F_(LFnC:HFC),F_(LFnC<HFC),F_(LFnC>HFC),F_(HFnC:HFC),F_(HFnC<HFC),F_(HFnC>HFC),M_WT_(LFnC:HFnC),M_WT_(LFnC<HFnC),M_WT_(LFnC>HFnC),M_WT_(LFnC:HFC),M_WT_(LFnC<HFC),M_WT_(LFnC>HFC),M_WT_(HFnC:HFC),M_WT_(HFnC<HFC),M_WT_(HFnC>HFC),M_KO_(LFnC:HFnC),M_KO_(LFnC<HFnC),M_KO_(LFnC>HFnC),M_KO_(LFnC:HFC),M_KO_(LFnC<HFC),M_KO_(LFnC>HFC),M_KO_(HFnC:HFC),M_KO_(HFnC<HFC),M_KO_(HFnC>HFC),M_(LFnC:HFnC),M_(LFnC<HFnC),M_(LFnC>HFnC),M_(LFnC:HFC),M_(LFnC<HFC),M_(LFnC>HFC),M_(HFnC:HFC),M_(HFnC<HFC),M_(HFnC>HFC),WT_(LFnC:HFnC),WT_(LFnC<HFnC),WT_(LFnC>HFnC),WT_(LFnC:HFC),WT_(LFnC<HFC),WT_(LFnC>HFC),WT_(HFnC:HFC),WT_(HFnC<HFC),WT_(HFnC>HFC),KO_(LFnC:HFnC),KO_(LFnC<HFnC),KO_(LFnC>HFnC),KO_(LFnC:HFC),KO_(LFnC<HFC),KO_(LFnC>HFC),KO_(HFnC:HFC),KO_(HFnC<HFC),KO_(HFnC>HFC),(LFnC:HFnC),(LFnC<HFnC),(LFnC>HFnC),(LFnC:HFC),(LFnC<HFC),(LFnC>HFC),(HFnC:HFC),(HFnC<HFC),(HFnC>HFC)
"Transport, lysosomal",1.0,1.0,0.17035692167455518,1.0,1.0,1.0,1.0,0.2649787427924988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3560841090726272,0.006063270932141762,1.0,0.3770612011223614,0.02182329394096516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8128046116004981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006950446659546028,1.0,1.0,0.053401656059229974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021708191228515084,1.0,1.0,0.00011749816299189142,1.0,1.0,1.0
"Transport, mitochondrial",1.0,0.9882468615351777,0.5419075877197401,1.0,1.0,0.7108613218033266,1.0,0.7238755590199085,0.92934298609394,1.0,1.0,1.0,1.0,0.6178920200964297,0.6799119912905991,1.0,0.7703485654707598,0.8521644192034695,1.0,1.0,1.0,1.0,1.0,1.0,0.7943051669947838,0.36807414177679154,0.8329871267503663,1.0,1.0,0.3964459422357839,1.0,0.8617323839381574,0.7138448437366124,1.0,0.7481783460436491,0.8773351950097973,1.0,1.0,0.44943674765612907,1.0,0.7819685495231334,0.968885792245581,1.0,0.39005953387942416,0.7272597689445439,1.0,1.0,1.0,1.0,1.0,1.0,0.6305528435049224,0.5624960107427838,0.8172393153904268,1.0,1.0,1.0,1.0,1.0,1.0,0.7338537214002916,0.44943674765612907,0.8226231978657251,1.0,1.0,1.0,0.8226231978657251,0.5419075877197401,0.7755755893906251,0.8060563858463385,0.4977890265098065,0.7690302475921265,1.0,1.0,1.0,1.0,1.0,1.0,0.8801471095475405,0.3072811756055711,0.7554750021220196
"Transport, endoplasmic reticular",1.0,0.8873248380755199,0.29888124227473156,1.0,1.0,1.0,1.0,0.4430697017488868,0.9643987293479793,1.0,1.0,1.0,1.0,0.06873266919101151,0.7429553339444592,1.0,0.4878469478583326,0.8876880818793975,1.0,1.0,1.0,1.0,1.0,1.0,0.5763965783665626,0.18841026761451873,0.8777571446031794,1.0,0.048852651960070936,1.0,1.0,1.0,1.0,1.0,0.4659240405180509,1.0,1.0,1.0,1.0,1.0,0.2899348152666843,1.0,1.0,0.08371405986309866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8669549045686653,0.3133928664706396,1.0,1.0,0.052183630891219135,1.0,1.0,1.0,1.0,0.9011019815249416,0.23772597211701274,1.0,1.0,1.0,1.0,0.8724695306261943,0.29888124227473156,1.0,0.8641094549240166,0.26893824173736136,1.0,1.0,0.0243925383025132,1.0,1.0,0.03727539394144652,1.0,0.9477313829639011,0.1537862959895132,1.0
Beta-Alanine metabolism,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14043610591702227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06310639649952643,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Transport, extracellular",1.0,0.9999999838157869,0.9754506222884893,1.0,0.9947542086348667,0.4387548060832105,1.0,0.826614966777506,0.9999999993762608,1.0,0.48405463245932623,1.0,1.0,0.9100746028370366,0.9986115173528509,1.0,0.8974496641463452,0.9999455089841853,1.0,1.0,1.0,1.0,0.39423848051965327,0.17417552617206278,0.9999996083669487,0.8868871540680607,0.9999999040702007,1.0,0.37992962143551656,0.9090553340333227,1.0,0.942679763599048,0.8697023389191653,1.0,0.9880624318177327,0.9999798558415472,1.0,0.9977823619510933,0.941215758185909,1.0,0.9961256489436059,0.999080043357495,1.0,0.9784194845717169,0.9999089592895399,1.0,1.0,0.4797436301176854,1.0,1.0,0.6635263646121088,0.9999982587085582,0.98026685886815,0.9999985610741069,1.0,0.7138930181011462,0.5815996647633659,1.0,0.7129668127440749,1.0,0.9999991902630587,0.7548712239096853,0.9999998564475129,1.0,1.0,1.0,0.9999642338919895,0.8736099801785737,0.9999945713810965,0.9999874221118817,0.822999123859175,0.9999934470676927,1.0,0.7129668127440749,1.0,0.2499319685305308,0.822999123859175,1.0,0.9999994621333597,0.8250417470575757,0.9999987048618599
"Glycine, serine, alanine, and threonine metabolism",1.0,1.0,1.0,1.0,1.0,0.0003683096800309871,1.0,1.0,0.05060013947157593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Methionine and cysteine metabolism,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20705168664167206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lysine metabolism,1.0,0.413021245851109,1.0,1.0,0.18034671652718393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Propanoate metabolism,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tryptophan metabolism,1.0,1.0,1.0,1.0,0.0004991154592731695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027109881014066084,1.0,1.0,0.013644649270175613,1.0,1.0,1.0,1.0,1.0,0.0060048846295482905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01405405637363999,0.2070647268134005,1.0,0.031641655224617926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10399804850823924,0.003944128069971131,1.0,0.09870610040973593,0.003066676206193053,1.0,1.0,1.0,1.0,0.0065821381286763625,1.0,1.0,1.0,1.0,1.0
