subsystem,WT_LFnC_(F:M),WT_LFnC_(F<M),WT_LFnC_(F>M),WT_HFnC_(F:M),WT_HFnC_(F<M),WT_HFnC_(F>M),WT_HFC_(F:M),WT_HFC_(F<M),WT_HFC_(F>M),WT_(F:M),WT_(F<M),WT_(F>M),KO_LFnC_(F:M),KO_LFnC_(F<M),KO_LFnC_(F>M),KO_HFnC_(F:M),KO_HFnC_(F<M),KO_HFnC_(F>M),KO_HFC_(F:M),KO_HFC_(F<M),KO_HFC_(F>M),KO_(F:M),KO_(F<M),KO_(F>M),LFnC_(F:M),LFnC_(F<M),LFnC_(F>M),HFnC_(F:M),HFnC_(F<M),HFnC_(F>M),HFC_(F:M),HFC_(F<M),HFC_(F>M),(F:M),(F<M),(F>M)
"Transport, lysosomal",1.0,0.7071301453882198,0.5223135324108894,1.0,1.0,1.0,1.0,0.3270272435009053,0.41701345739258255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07965816166010109,1.0,0.5910298191896475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3631527600059714,0.33441048797184125,1.0,1.0,1.0
"Transport, mitochondrial",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6523672515786265,1.0,0.6053882387770099,1.0,1.0,0.9128868338084459,1.0,1.0,1.0,0.5808568163949256,1.0,0.8845609549544097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975717019885968,1.0,0.5134604548806411
"Transport, endoplasmic reticular",1.0,0.9031774908317086,1.0,1.0,0.5577728653138596,1.0,1.0,0.5290477474129541,1.0,0.7695916656953481,0.858236046385868,1.0,1.0,1.0,1.0,1.0,0.09578676655716745,1.0,1.0,0.8173125206146705,1.0,0.845722599035868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5759495148371827,1.0,0.6385924005911779,1.0,1.0
Beta-Alanine metabolism,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0971166522568635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Transport, extracellular",1.0,0.9904988984399454,0.9999355967227787,1.0,0.80305273276669,0.9997983327263941,1.0,0.8603934295070335,0.9376263287258969,0.9760568310758087,0.9999996083669487,0.9965653901313192,1.0,0.9166379877061959,0.9826582643199342,1.0,0.3368251991175615,0.994541319961124,1.0,0.9396967562521754,0.9986749220191113,0.9740544613104665,0.6498665885567034,0.9747379984035558,1.0,0.5508121865619783,0.9917650233543491,1.0,0.8341365437989794,0.9825992848652167,1.0,0.9721074090781509,0.9845496360271402,0.9757967402131775,0.9211792984943369,0.9562652403656515
"Glycine, serine, alanine, and threonine metabolism",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Methionine and cysteine metabolism,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lysine metabolism,1.0,0.28147995093174005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Propanoate metabolism,1.0,1.0,1.0,1.0,1.0,0.11894214725406294,1.0,1.0,0.09663636692120292,0.1353346624758609,1.0,1.0,1.0,0.1041292339348171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28135414647942636,1.0,1.0
Tryptophan metabolism,1.0,0.1277778858580506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38513567454300857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tyrosine metabolism,1.0,0.5408541027351361,1.0,1.0,1.0,1.0,1.0,0.22200889601101725,0.2896689389628109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ubiquinone synthesis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
