rxn,F_WT_(LFnC:HFnC),F_WT_(LFnC<HFnC),F_WT_(LFnC>HFnC),F_WT_(LFnC:HFC),F_WT_(LFnC<HFC),F_WT_(LFnC>HFC),F_WT_(HFnC:HFC),F_WT_(HFnC<HFC),F_WT_(HFnC>HFC),F_KO_(LFnC:HFnC),F_KO_(LFnC<HFnC),F_KO_(LFnC>HFnC),F_KO_(LFnC:HFC),F_KO_(LFnC<HFC),F_KO_(LFnC>HFC),F_KO_(HFnC:HFC),F_KO_(HFnC<HFC),F_KO_(HFnC>HFC),F_(LFnC:HFnC),F_(LFnC<HFnC),F_(LFnC>HFnC),F_(LFnC:HFC),F_(LFnC<HFC),F_(LFnC>HFC),F_(HFnC:HFC),F_(HFnC<HFC),F_(HFnC>HFC),M_WT_(LFnC:HFnC),M_WT_(LFnC<HFnC),M_WT_(LFnC>HFnC),M_WT_(LFnC:HFC),M_WT_(LFnC<HFC),M_WT_(LFnC>HFC),M_WT_(HFnC:HFC),M_WT_(HFnC<HFC),M_WT_(HFnC>HFC),M_KO_(LFnC:HFnC),M_KO_(LFnC<HFnC),M_KO_(LFnC>HFnC),M_KO_(LFnC:HFC),M_KO_(LFnC<HFC),M_KO_(LFnC>HFC),M_KO_(HFnC:HFC),M_KO_(HFnC<HFC),M_KO_(HFnC>HFC),M_(LFnC:HFnC),M_(LFnC<HFnC),M_(LFnC>HFnC),M_(LFnC:HFC),M_(LFnC<HFC),M_(LFnC>HFC),M_(HFnC:HFC),M_(HFnC<HFC),M_(HFnC>HFC),WT_(LFnC:HFnC),WT_(LFnC<HFnC),WT_(LFnC>HFnC),WT_(LFnC:HFC),WT_(LFnC<HFC),WT_(LFnC>HFC),WT_(HFnC:HFC),WT_(HFnC<HFC),WT_(HFnC>HFC),KO_(LFnC:HFnC),KO_(LFnC<HFnC),KO_(LFnC>HFnC),KO_(LFnC:HFC),KO_(LFnC<HFC),KO_(LFnC>HFC),KO_(HFnC:HFC),KO_(HFnC<HFC),KO_(HFnC>HFC),(LFnC:HFnC),(LFnC<HFnC),(LFnC>HFnC),(LFnC:HFC),(LFnC<HFC),(LFnC>HFC),(HFnC:HFC),(HFnC<HFC),(HFnC>HFC)
10FTHF7GLUtl,0.12618891097460588,0.07890368860174637,1.0,0.13278086901059274,0.08263487832700281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12578215492636244,0.08620788960695737,1.0,0.1276444252251467,0.0894526912332355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12116794533640059,0.08288850100043949,1.0,0.1252556105693695,0.08578469176597606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12101033174572952,0.09029555853664897,0.9947725356978183,0.1185650761510647,0.08781329813348362,0.9980315707926078,1.0,1.0,1.0
10FTHF7GLUtm,0.12618891097460588,0.07890368860174637,1.0,0.13278086901059274,0.08263487832700281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12578215492636244,0.08620788960695737,1.0,0.1276444252251467,0.0894526912332355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12116794533640059,0.08288850100043949,1.0,0.1252556105693695,0.08578469176597606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12101033174572952,0.09029555853664897,0.9947725356978183,0.1185650761510647,0.08781329813348362,0.9980315707926078,1.0,1.0,1.0
10FTHFtl,0.12618891097460588,1.0,0.4501096781599623,0.13278086901059274,1.0,0.4745565296894171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12578215492636244,1.0,0.5069494668695821,0.1276444252251467,1.0,0.5148568242384317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12116794533640059,0.9974548961561714,0.5018114655161742,0.1252556105693695,0.9823190100233008,0.5175477135637198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12101033174572952,0.9645717677114625,0.5470946364375232,0.1185650761510647,0.9572617044071796,0.5157506728916235,1.0,1.0,1.0
11DOCRTSLte,0.12618891097460588,0.07890368860174637,1.0,0.5507039573820396,0.8057700480899451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3268809692507547,0.4595538620306421,1.0,0.5023810405052576,0.4605409705648367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8913843206990331,1.0,1.0,0.8444693564517156,1.0,1.0,0.12116794533640059,0.08288850100043949,1.0,0.41145954475744556,0.7517795375753579,1.0,0.7726114758565499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.290150359605734,0.45254846779237007,0.9947725356978183,0.437386221286221,0.45127845338322403,0.9980315707926078,0.7225222703577149,1.0,1.0
11DOCRTSLtm,1.0,1.0,1.0,0.29666720110800426,0.46486790331646977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43027794432919575,1.0,0.8076065728505593,0.5321750321750321,0.8782680245938932,0.7889694980924694,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8913843206990331,1.0,1.0,0.8444693564517156,1.0,1.0,1.0,1.0,1.0,0.24878483377199012,0.44970092441544296,1.0,0.7726114758565499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4767409402015215,1.0,0.857575541404858,0.31529147095144217,0.8281122088919413,0.8120694372015544,0.7283663461659111,1.0,1.0
11DOCRTSTRNte,0.12618891097460588,0.07890368860174637,1.0,0.2269894608377597,0.13520436956501586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12578215492636244,0.08620788960695737,1.0,0.2899209867312147,0.13965963337693496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12116794533640059,0.08288850100043949,1.0,0.27643489576273766,0.14023247846871892,1.0,0.7726114758565499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12101033174572952,0.09029555853664897,0.9947725356978183,0.2990865567789038,0.14261128302561324,1.0,0.7225222703577149,1.0,1.0
11DOCRTSTRNtr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8499245370425551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8523643380921432,1.0,1.0,0.46861712142777184,1.0,1.0,0.24555115249445061,0.4640852974186306,1.0,0.3438888435684714,0.695554133518443,1.0,0.7726114758565499,1.0,1.0,1.0,1.0,1.0,0.668413974405006,1.0,1.0,1.0,1.0,1.0,0.22858110676811919,0.45254846779237007,1.0,0.1185650761510647,0.670208286558818,0.9980315707926078,0.4842005905237879,1.0,1.0
12DHCHOLabc,0.12618891097460588,0.07890368860174637,1.0,0.13278086901059274,0.08263487832700281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12578215492636244,0.08620788960695737,1.0,0.1276444252251467,0.0894526912332355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12116794533640059,0.08288850100043949,1.0,0.1252556105693695,0.08578469176597606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12101033174572952,0.09029555853664897,0.9947725356978183,0.1185650761510647,0.08781329813348362,0.9980315707926078,1.0,1.0,1.0
12DHCHOLt,0.12618891097460588,0.07890368860174637,1.0,0.13278086901059274,0.08263487832700281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12578215492636244,0.08620788960695737,1.0,0.1276444252251467,0.0894526912332355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12116794533640059,0.08288850100043949,1.0,0.1252556105693695,0.08578469176597606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12101033174572952,0.09029555853664897,0.9947725356978183,0.1185650761510647,0.08781329813348362,0.9980315707926078,1.0,1.0,1.0
12HARACHDte,0.12618891097460588,0.07890368860174637,1.0,0.13278086901059274,0.08263487832700281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12578215492636244,0.08620788960695737,1.0,0.1276444252251467,0.0894526912332355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12116794533640059,0.08288850100043949,1.0,0.1252556105693695,0.08578469176597606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12101033174572952,0.09029555853664897,0.9947725356978183,0.1185650761510647,0.08781329813348362,0.9980315707926078,1.0,1.0,1.0
