rxn,WT_LFnC_(F:M),WT_LFnC_(F<M),WT_LFnC_(F>M),WT_HFnC_(F:M),WT_HFnC_(F<M),WT_HFnC_(F>M),WT_HFC_(F:M),WT_HFC_(F<M),WT_HFC_(F>M),WT_(F:M),WT_(F<M),WT_(F>M),KO_LFnC_(F:M),KO_LFnC_(F<M),KO_LFnC_(F>M),KO_HFnC_(F:M),KO_HFnC_(F<M),KO_HFnC_(F>M),KO_HFC_(F:M),KO_HFC_(F<M),KO_HFC_(F>M),KO_(F:M),KO_(F<M),KO_(F>M),LFnC_(F:M),LFnC_(F<M),LFnC_(F>M),HFnC_(F:M),HFnC_(F<M),HFnC_(F>M),HFC_(F:M),HFC_(F<M),HFC_(F>M),(F:M),(F<M),(F>M)
10FTHF7GLUtl,0.09835280122947343,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08466364860603137,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08786716782211257,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08159338738133504,0.051316701949486114,0.894590744661054
10FTHF7GLUtm,0.09835280122947343,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08466364860603137,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08786716782211257,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08159338738133504,0.051316701949486114,0.894590744661054
10FTHFtl,0.09835280122947343,0.894590744661054,0.051316701949486114,1.0,1.0,1.0,1.0,1.0,1.0,0.08466364860603137,0.894590744661054,0.051316701949486114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08786716782211257,0.894590744661054,0.051316701949486114,1.0,1.0,1.0,1.0,1.0,1.0,0.08159338738133504,0.894590744661054,0.051316701949486114
11DOCRTSLte,0.09835280122947343,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,0.03862149044298495,0.004818230468198537,0.7405819415910722,0.09381616499744216,0.3333333333333332,1.0,0.09381616499744216,0.3333333333333332,1.0,0.30962837708843105,0.552786404500042,0.552786404500042,0.01080512067079026,0.552786404500042,0.552786404500042,0.014024595290833667,0.004818230468198537,0.7405819415910722,0.08697250839995457,0.3333333333333332,1.0,0.14121267378400587,0.552786404500042,0.552786404500042,0.0021894395649820486,0.3122565813186083,0.3122565813186083
11DOCRTSLtm,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,0.18703139874544122,1.0,0.3333333333333332,0.09835280122947343,0.894590744661054,0.051316701949486114,0.09381616499744216,1.0,0.3333333333333332,0.23975006109347674,0.7335793204938506,0.15461852312844906,0.008708450122805652,0.7809085271647664,0.03069856297267791,0.08786716782211257,0.894590744661054,0.051316701949486114,0.08697250839995457,1.0,0.3333333333333332,0.14673340979367522,0.49237015259129446,0.11680660694745583,0.00883911656564279,0.49989851459945445,0.02444020712312145
11DOCRTSTRNte,0.09835280122947343,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,0.03862149044298495,0.004818230468198537,0.7405819415910722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08786716782211257,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,0.040165316487114806,0.004818230468198537,0.7405819415910722
11DOCRTSTRNtr,0.25249253754692297,1.0,0.3333333333333332,1.0,1.0,1.0,0.09381616499744216,1.0,0.3333333333333332,0.037898118011446,1.0,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,0.09381616499744216,1.0,0.3333333333333332,0.0842943857871764,1.0,0.3333333333333332,0.20232838096364303,1.0,0.3333333333333332,1.0,1.0,1.0,0.012304336233722806,1.0,0.3333333333333332,0.009397925469316554,1.0,0.3333333333333332
12DHCHOLabc,0.09835280122947343,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08466364860603137,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08786716782211257,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08159338738133504,0.051316701949486114,0.894590744661054
12DHCHOLt,0.09835280122947343,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08466364860603137,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08786716782211257,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08159338738133504,0.051316701949486114,0.894590744661054
12HARACHDte,0.09835280122947343,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08466364860603137,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08786716782211257,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08159338738133504,0.051316701949486114,0.894590744661054
