rxn,F_LFnC_(WT:KO),F_LFnC_(WT<KO),F_LFnC_(WT>KO),F_HFnC_(WT:KO),F_HFnC_(WT<KO),F_HFnC_(WT>KO),F_HFC_(WT:KO),F_HFC_(WT<KO),F_HFC_(WT>KO),F_(WT:KO),F_(WT<KO),F_(WT>KO),M_LFnC_(WT:KO),M_LFnC_(WT<KO),M_LFnC_(WT>KO),M_HFnC_(WT:KO),M_HFnC_(WT<KO),M_HFnC_(WT>KO),M_HFC_(WT:KO),M_HFC_(WT<KO),M_HFC_(WT>KO),M_(WT:KO),M_(WT<KO),M_(WT>KO),LFnC_(WT:KO),LFnC_(WT<KO),LFnC_(WT>KO),HFnC_(WT:KO),HFnC_(WT<KO),HFnC_(WT>KO),HFC_(WT:KO),HFC_(WT<KO),HFC_(WT>KO),(WT:KO),(WT<KO),(WT>KO)
10FTHF7GLUtl,0.09835280122947343,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08466364860603137,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08786716782211257,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08159338738133504,0.051316701949486114,0.894590744661054
10FTHF7GLUtm,0.09835280122947343,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08466364860603137,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08786716782211257,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08159338738133504,0.051316701949486114,0.894590744661054
10FTHFtl,0.09835280122947343,0.894590744661054,0.051316701949486114,1.0,1.0,1.0,1.0,1.0,1.0,0.08466364860603137,0.894590744661054,0.051316701949486114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08786716782211257,0.894590744661054,0.051316701949486114,1.0,1.0,1.0,1.0,1.0,1.0,0.08159338738133504,0.894590744661054,0.051316701949486114
11DOCRTSLte,0.2500921285353972,0.614384002810333,0.32172333582430024,0.09381616499744216,1.0,0.3333333333333332,0.30962837708843105,0.552786404500042,0.552786404500042,0.03182669826302812,0.3122565813186083,0.3122565813186083,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,0.18703139874544122,1.0,0.3333333333333332,0.3872427172145638,0.614384002810333,0.32172333582430024,0.08697250839995457,1.0,0.3333333333333332,0.14121267378400587,0.552786404500042,0.552786404500042,0.042918352826733716,0.3122565813186083,0.3122565813186083
11DOCRTSLtm,0.09835280122947343,0.051316701949486114,0.894590744661054,0.09381616499744216,0.3333333333333332,1.0,0.1768392586592324,0.08858700531354381,0.9347128481082341,0.005878756967443939,0.014888622005580311,0.9565293523898406,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,0.18703139874544122,0.3333333333333332,1.0,0.08786716782211257,0.051316701949486114,0.894590744661054,0.08697250839995457,0.3333333333333332,1.0,0.09060161274519474,0.08858700531354381,0.9347128481082341,0.006548695172723902,0.014888622005580311,0.9565293523898406
11DOCRTSTRNte,0.09835280122947343,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,0.03862149044298495,0.004818230468198537,0.7405819415910722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08786716782211257,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,0.040165316487114806,0.004818230468198537,0.7405819415910722
11DOCRTSTRNtr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.324703854278672,0.552786404500042,0.552786404500042,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32679104800799086,0.552786404500042,0.552786404500042
12DHCHOLabc,0.09835280122947343,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08466364860603137,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08786716782211257,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08159338738133504,0.051316701949486114,0.894590744661054
12DHCHOLt,0.09835280122947343,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08466364860603137,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08786716782211257,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08159338738133504,0.051316701949486114,0.894590744661054
12HARACHDte,0.09835280122947343,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08466364860603137,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08786716782211257,0.051316701949486114,0.894590744661054,1.0,1.0,1.0,1.0,1.0,1.0,0.08159338738133504,0.051316701949486114,0.894590744661054
