rxn,F_LFnC_(WT:KO),F_LFnC_(WT<KO),F_LFnC_(WT>KO),F_HFnC_(WT:KO),F_HFnC_(WT<KO),F_HFnC_(WT>KO),F_HFC_(WT:KO),F_HFC_(WT<KO),F_HFC_(WT>KO),F_(WT:KO),F_(WT<KO),F_(WT>KO),M_LFnC_(WT:KO),M_LFnC_(WT<KO),M_LFnC_(WT>KO),M_HFnC_(WT:KO),M_HFnC_(WT<KO),M_HFnC_(WT>KO),M_HFC_(WT:KO),M_HFC_(WT<KO),M_HFC_(WT>KO),M_(WT:KO),M_(WT<KO),M_(WT>KO),LFnC_(WT:KO),LFnC_(WT<KO),LFnC_(WT>KO),HFnC_(WT:KO),HFnC_(WT<KO),HFnC_(WT>KO),HFC_(WT:KO),HFC_(WT<KO),HFC_(WT>KO),(WT:KO),(WT<KO),(WT>KO)
10FTHF7GLUtl,0.1298732587402878,0.08229152010680751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12021532052497318,0.08573517679237377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11701473073894862,0.08380039142047252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12656594843262287,0.08809975907045525,0.9562012224599044
10FTHF7GLUtm,0.1298732587402878,0.08229152010680751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12021532052497318,0.08573517679237377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11701473073894862,0.08380039142047252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12656594843262287,0.08809975907045525,0.9562012224599044
10FTHFtl,0.1298732587402878,1.0,0.44207200533567725,1.0,1.0,1.0,1.0,1.0,1.0,0.12021532052497318,0.977498267429755,0.4854123980156456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11701473073894862,0.9949636543406036,0.46783053163082694,1.0,1.0,1.0,1.0,1.0,1.0,0.12656594843262287,0.9452063918311447,0.4992813236732355
11DOCRTSLte,0.29268708447319525,0.7979961840406142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12021532052497318,0.46263885559018597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9314297135804455,1.0,1.0,0.4222326733567513,0.7723494011441949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12656594843262287,0.45168749356657256,0.9562012224599044
11DOCRTSLtm,0.1298732587402878,0.08229152010680751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12021532052497318,0.08573517679237377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9314297135804455,1.0,1.0,0.11701473073894862,0.08380039142047252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12656594843262287,0.08809975907045525,1.0
11DOCRTSTRNte,0.1298732587402878,0.08229152010680751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12021532052497318,0.08573517679237377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11701473073894862,0.08380039142047252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12656594843262287,0.08809975907045525,0.9562012224599044
11DOCRTSTRNtr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2360973588789618,0.4619743037267574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3646479138238741,0.6582156660465562,0.9562012224599044
12DHCHOLabc,0.1298732587402878,0.08229152010680751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12021532052497318,0.08573517679237377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11701473073894862,0.08380039142047252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12656594843262287,0.08809975907045525,0.9562012224599044
12DHCHOLt,0.1298732587402878,0.08229152010680751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12021532052497318,0.08573517679237377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11701473073894862,0.08380039142047252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12656594843262287,0.08809975907045525,0.9562012224599044
12HARACHDte,0.1298732587402878,0.08229152010680751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12021532052497318,0.08573517679237377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11701473073894862,0.08380039142047252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12656594843262287,0.08809975907045525,0.9562012224599044
