rxn,F_WT_(LFnC:HFnC),F_WT_(LFnC<HFnC),F_WT_(LFnC>HFnC),F_WT_(LFnC:HFC),F_WT_(LFnC<HFC),F_WT_(LFnC>HFC),F_WT_(HFnC:HFC),F_WT_(HFnC<HFC),F_WT_(HFnC>HFC),F_KO_(LFnC:HFnC),F_KO_(LFnC<HFnC),F_KO_(LFnC>HFnC),F_KO_(LFnC:HFC),F_KO_(LFnC<HFC),F_KO_(LFnC>HFC),F_KO_(HFnC:HFC),F_KO_(HFnC<HFC),F_KO_(HFnC>HFC),F_(LFnC:HFnC),F_(LFnC<HFnC),F_(LFnC>HFnC),F_(LFnC:HFC),F_(LFnC<HFC),F_(LFnC>HFC),F_(HFnC:HFC),F_(HFnC<HFC),F_(HFnC>HFC),M_WT_(LFnC:HFnC),M_WT_(LFnC<HFnC),M_WT_(LFnC>HFnC),M_WT_(LFnC:HFC),M_WT_(LFnC<HFC),M_WT_(LFnC>HFC),M_WT_(HFnC:HFC),M_WT_(HFnC<HFC),M_WT_(HFnC>HFC),M_KO_(LFnC:HFnC),M_KO_(LFnC<HFnC),M_KO_(LFnC>HFnC),M_KO_(LFnC:HFC),M_KO_(LFnC<HFC),M_KO_(LFnC>HFC),M_KO_(HFnC:HFC),M_KO_(HFnC<HFC),M_KO_(HFnC>HFC),M_(LFnC:HFnC),M_(LFnC<HFnC),M_(LFnC>HFnC),M_(LFnC:HFC),M_(LFnC<HFC),M_(LFnC>HFC),M_(HFnC:HFC),M_(HFnC<HFC),M_(HFnC>HFC),WT_(LFnC:HFnC),WT_(LFnC<HFnC),WT_(LFnC>HFnC),WT_(LFnC:HFC),WT_(LFnC<HFC),WT_(LFnC>HFC),WT_(HFnC:HFC),WT_(HFnC<HFC),WT_(HFnC>HFC),KO_(LFnC:HFnC),KO_(LFnC<HFnC),KO_(LFnC>HFnC),KO_(LFnC:HFC),KO_(LFnC<HFC),KO_(LFnC>HFC),KO_(HFnC:HFC),KO_(HFnC<HFC),KO_(HFnC>HFC),(LFnC:HFnC),(LFnC<HFnC),(LFnC>HFnC),(LFnC:HFC),(LFnC<HFC),(LFnC>HFC),(HFnC:HFC),(HFnC<HFC),(HFnC>HFC)
13_CIS_RETNte,0.6027942359800285,1.0,1.0,1.0,1.0,1.0,0.6554564469236814,1.0,1.0,1.0,1.0,1.0,0.7108267707917367,1.0,1.0,0.6798504570842715,1.0,1.0,0.459937740332653,1.0,1.0,0.556149044702439,1.0,1.0,0.57105121631826,1.0,1.0,1.0,1.0,1.0,0.6053999747522764,1.0,1.0,0.6002108321115426,1.0,1.0,0.6206020420651105,1.0,1.0,0.9596309111880046,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,0.4166762697073045,1.0,1.0,0.7038191877261404,1.0,1.0,0.4549654404371649,1.0,1.0,0.49090350255848464,1.0,1.0,0.7568581543417687,1.0,1.0,0.4333004194639666,1.0,1.0,0.4470960500851815,1.0,1.0,0.6127345791546452,1.0,1.0,0.38774718988819595,0.8794299602433415,0.9189647736408944,0.3824004987936277,0.8686343138947452,0.9089760261013194,0.6228108479449082,0.895653921215258,0.9000819358263554
1331TACRhr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6206020420651105,1.0,1.0,1.0,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,1.0,1.0,1.0,0.4702156786641089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4333004194639666,1.0,1.0,1.0,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,0.8794299602433415,1.0,1.0,1.0,1.0,0.44173351269334693,1.0,0.9000819358263554
1331TACRtev,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6206020420651105,1.0,1.0,1.0,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,1.0,1.0,1.0,0.4702156786641089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4333004194639666,1.0,1.0,1.0,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,0.8794299602433415,1.0,1.0,1.0,1.0,0.44173351269334693,1.0,0.9000819358263554
13DMThr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6053999747522764,1.0,1.0,0.6002108321115426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4166762697073045,1.0,1.0,0.4702156786641089,1.0,1.0,1.0,1.0,1.0,0.4782307186413381,1.0,1.0,0.4507020427356118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3824004987936277,0.8686343138947452,1.0,0.44173351269334693,0.895653921215258,1.0
13DMTitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642427496143853,1.0,1.0,0.6053999747522764,1.0,1.0,0.6002108321115426,1.0,1.0,1.0,1.0,1.0,0.5535541271120946,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,0.5220664147969398,1.0,1.0,0.7279270884381209,1.0,1.0,0.4549654404371649,1.0,1.0,0.4782307186413381,1.0,1.0,0.4507020427356118,1.0,1.0,1.0,1.0,1.0,0.4213697445851089,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,0.8794299602433415,1.0,0.464126678453767,0.8686343138947452,1.0,0.635686714911465,0.895653921215258,0.9000819358263554
13DMTtep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642427496143853,1.0,1.0,0.6053999747522764,1.0,1.0,0.6002108321115426,1.0,1.0,1.0,1.0,1.0,0.5535541271120946,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,0.5220664147969398,1.0,1.0,0.7279270884381209,1.0,1.0,0.4549654404371649,1.0,1.0,0.4782307186413381,1.0,1.0,0.4507020427356118,1.0,1.0,1.0,1.0,1.0,0.4213697445851089,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,0.8794299602433415,1.0,0.464126678453767,0.8686343138947452,1.0,0.635686714911465,0.895653921215258,0.9000819358263554
13HTACRitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6206020420651105,1.0,1.0,1.0,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,1.0,1.0,1.0,0.4702156786641089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4333004194639666,1.0,1.0,1.0,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,0.8794299602433415,1.0,1.0,1.0,1.0,0.44173351269334693,1.0,0.9000819358263554
1513DTACRhr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642427496143853,1.0,1.0,0.6053999747522764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5535541271120946,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,1.0,1.0,1.0,0.4702156786641089,1.0,1.0,0.4549654404371649,1.0,1.0,0.4782307186413381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4213697445851089,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,1.0,0.9189647736408944,1.0,1.0,1.0,0.44173351269334693,0.895653921215258,1.0
1513DTALThr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642427496143853,1.0,1.0,0.6053999747522764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5535541271120946,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,1.0,1.0,1.0,0.4702156786641089,1.0,1.0,0.4549654404371649,1.0,1.0,0.4782307186413381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4213697445851089,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,1.0,0.9189647736408944,1.0,1.0,1.0,0.44173351269334693,0.895653921215258,1.0
1513TACRitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642427496143853,1.0,1.0,0.6053999747522764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5535541271120946,1.0,1.0,0.6169568024641406,1.0,1.0,0.4085854683537645,1.0,1.0,1.0,1.0,1.0,0.4702156786641089,1.0,1.0,0.4549654404371649,1.0,1.0,0.4782307186413381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4213697445851089,1.0,1.0,0.4637388786825096,1.0,1.0,0.38774718988819595,1.0,0.9189647736408944,1.0,1.0,1.0,0.44173351269334693,0.895653921215258,1.0
