rxn,WT_LFnC_(F:M),WT_LFnC_(F<M),WT_LFnC_(F>M),WT_HFnC_(F:M),WT_HFnC_(F<M),WT_HFnC_(F>M),WT_HFC_(F:M),WT_HFC_(F<M),WT_HFC_(F>M),WT_(F:M),WT_(F<M),WT_(F>M),KO_LFnC_(F:M),KO_LFnC_(F<M),KO_LFnC_(F>M),KO_HFnC_(F:M),KO_HFnC_(F<M),KO_HFnC_(F>M),KO_HFC_(F:M),KO_HFC_(F<M),KO_HFC_(F>M),KO_(F:M),KO_(F<M),KO_(F>M),LFnC_(F:M),LFnC_(F<M),LFnC_(F>M),HFnC_(F:M),HFnC_(F<M),HFnC_(F>M),HFC_(F:M),HFC_(F<M),HFC_(F>M),(F:M),(F<M),(F>M)
13_CIS_RETNte,1.0,1.0,1.0,0.654435486725981,1.0,1.0,0.7402609475217662,1.0,1.0,0.743521000893655,1.0,1.0,1.0,1.0,1.0,0.5724081505150952,1.0,1.0,0.7156231727538942,1.0,1.0,0.6764227642276422,1.0,1.0,0.7454307779895014,1.0,1.0,0.7732342007434944,1.0,1.0,0.517245856950246,1.0,1.0,0.58222533240028,0.7736220160538855,0.788206150032622
1331TACRhr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5724081505150952,1.0,1.0,1.0,1.0,1.0,0.3857535820420806,1.0,1.0,1.0,1.0,1.0,0.4741893322866226,1.0,1.0,1.0,1.0,1.0,0.3771251321753072,0.7736220160538855,1.0
1331TACRtev,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5724081505150952,1.0,1.0,1.0,1.0,1.0,0.3857535820420806,1.0,1.0,1.0,1.0,1.0,0.4741893322866226,1.0,1.0,1.0,1.0,1.0,0.3771251321753072,0.7736220160538855,1.0
13DMThr,1.0,1.0,1.0,1.0,1.0,1.0,0.7402609475217662,1.0,1.0,0.4543441905132898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46630806914612466,1.0,1.0,0.3771251321753072,0.7736220160538855,1.0
13DMTitr,0.6365872461789088,1.0,1.0,1.0,1.0,1.0,0.7402609475217662,1.0,1.0,0.7076273867909523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6787521526301774,1.0,1.0,0.3857535820420806,1.0,1.0,0.4056318384620506,1.0,1.0,1.0,1.0,1.0,0.6694851277249801,1.0,1.0,0.4399118042852506,0.7736220160538855,0.788206150032622
13DMTtep,0.6365872461789088,1.0,1.0,1.0,1.0,1.0,0.7402609475217662,1.0,1.0,0.7076273867909523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6787521526301774,1.0,1.0,0.3857535820420806,1.0,1.0,0.4056318384620506,1.0,1.0,1.0,1.0,1.0,0.6694851277249801,1.0,1.0,0.4399118042852506,0.7736220160538855,0.788206150032622
13HTACRitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5724081505150952,1.0,1.0,1.0,1.0,1.0,0.3857535820420806,1.0,1.0,1.0,1.0,1.0,0.4741893322866226,1.0,1.0,1.0,1.0,1.0,0.3771251321753072,0.7736220160538855,1.0
1513DTACRhr,0.6365872461789088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4543441905132898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6787521526301774,1.0,1.0,0.3857535820420806,1.0,1.0,0.4056318384620506,1.0,1.0,1.0,1.0,1.0,0.46630806914612466,1.0,1.0,0.3771251321753072,0.7736220160538855,1.0
1513DTALThr,0.6365872461789088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4543441905132898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6787521526301774,1.0,1.0,0.3857535820420806,1.0,1.0,0.4056318384620506,1.0,1.0,1.0,1.0,1.0,0.46630806914612466,1.0,1.0,0.3771251321753072,0.7736220160538855,1.0
1513TACRitr,0.6365872461789088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4543441905132898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6787521526301774,1.0,1.0,0.3857535820420806,1.0,1.0,0.4056318384620506,1.0,1.0,1.0,1.0,1.0,0.46630806914612466,1.0,1.0,0.3771251321753072,0.7736220160538855,1.0
1513TACRtep,0.6365872461789088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4543441905132898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6787521526301774,1.0,1.0,0.3857535820420806,1.0,1.0,0.4056318384620506,1.0,1.0,1.0,1.0,1.0,0.46630806914612466,1.0,1.0,0.3771251321753072,0.7736220160538855,1.0
1531TACRitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5724081505150952,1.0,1.0,1.0,1.0,1.0,0.3857535820420806,1.0,1.0,1.0,1.0,1.0,0.4741893322866226,1.0,1.0,1.0,1.0,1.0,0.3771251321753072,0.7736220160538855,1.0
1531TACRtev,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5724081505150952,1.0,1.0,1.0,1.0,1.0,0.3857535820420806,1.0,1.0,1.0,1.0,1.0,0.4741893322866226,1.0,1.0,1.0,1.0,1.0,0.3771251321753072,0.7736220160538855,1.0
1531TALThr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5724081505150952,1.0,1.0,1.0,1.0,1.0,0.3857535820420806,1.0,1.0,1.0,1.0,1.0,0.4741893322866226,1.0,1.0,1.0,1.0,1.0,0.3771251321753072,0.7736220160538855,1.0
15DMThr,1.0,1.0,1.0,1.0,1.0,1.0,0.7402609475217662,1.0,1.0,0.4543441905132898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46630806914612466,1.0,1.0,0.3771251321753072,0.7736220160538855,1.0
15DMTitr,0.6365872461789088,1.0,1.0,1.0,1.0,1.0,0.7402609475217662,1.0,1.0,0.7076273867909523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6787521526301774,1.0,1.0,0.3857535820420806,1.0,1.0,0.4056318384620506,1.0,1.0,1.0,1.0,1.0,0.6694851277249801,1.0,1.0,0.4399118042852506,0.7736220160538855,0.788206150032622
15DMTtep,0.6365872461789088,1.0,1.0,1.0,1.0,1.0,0.7402609475217662,1.0,1.0,0.7076273867909523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6787521526301774,1.0,1.0,0.3857535820420806,1.0,1.0,0.4056318384620506,1.0,1.0,1.0,1.0,1.0,0.6694851277249801,1.0,1.0,0.4399118042852506,0.7736220160538855,0.788206150032622
1PPDCRp,1.0,1.0,1.0,0.654435486725981,1.0,1.0,1.0,1.0,1.0,0.4543441905132898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6787521526301774,1.0,1.0,0.3857535820420806,1.0,1.0,1.0,1.0,1.0,0.4741893322866226,1.0,1.0,0.517245856950246,1.0,1.0,0.3771251321753072,0.7736220160538855,0.788206150032622
2DR1PP,0.6365872461789088,1.0,1.0,0.654435486725981,1.0,1.0,0.7402609475217662,1.0,1.0,0.5312418557356157,1.0,1.0,0.7182009956890253,1.0,1.0,0.5724081505150952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4056318384620506,1.0,1.0,0.5329945414625276,1.0,1.0,0.517245856950246,1.0,1.0,0.46334960198927205,0.7736220160538855,0.788206150032622
2HYDOGOAT3t,1.0,1.0,1.0,0.654435486725981,0.0,1.0,1.0,1.0,1.0,0.4543441905132898,1.0,1.0,0.7182009956890253,1.0,1.0,0.5724081505150952,1.0,1.0,0.6787521526301774,0.0,1.0,0.5049600126352431,1.0,1.0,0.4056318384620506,1.0,1.0,0.4741893322866226,1.0,1.0,0.46630806914612466,1.0,1.0,0.3771251321753072,0.7736220160538855,0.788206150032622
2HYDOGte,1.0,1.0,1.0,0.654435486725981,1.0,0.0,1.0,1.0,1.0,0.4543441905132898,1.0,1.0,0.7182009956890253,1.0,1.0,0.5724081505150952,1.0,1.0,0.6787521526301774,1.0,0.0,0.5049600126352431,1.0,1.0,0.4056318384620506,1.0,1.0,0.4741893322866226,1.0,1.0,0.46630806914612466,1.0,1.0,0.3771251321753072,0.7736220160538855,0.788206150032622
2MCITt,0.6365872461789088,1.0,1.0,1.0,1.0,1.0,0.7402609475217662,1.0,1.0,0.4543441905132898,1.0,1.0,1.0,1.0,1.0,0.5724081505150952,1.0,1.0,0.6787521526301774,1.0,1.0,0.3857535820420806,1.0,1.0,0.4056318384620506,1.0,1.0,0.4741893322866226,1.0,1.0,0.46630806914612466,1.0,1.0,0.3771251321753072,0.7736220160538855,0.788206150032622
2OXOADPt,0.6365872461789088,1.0,1.0,1.0,1.0,1.0,0.7402609475217662,1.0,1.0,0.4543441905132898,1.0,1.0,0.7182009956890253,1.0,1.0,1.0,1.0,1.0,0.6787521526301774,1.0,1.0,1.0,1.0,1.0,0.4056318384620506,1.0,1.0,1.0,1.0,1.0,0.517245856950246,1.0,1.0,0.3771251321753072,0.7736220160538855,1.0
31DMTitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5724081505150952,1.0,1.0,1.0,1.0,1.0,0.3857535820420806,1.0,1.0,1.0,1.0,1.0,0.4741893322866226,1.0,1.0,1.0,1.0,1.0,0.3771251321753072,1.0,0.788206150032622
31DMTtep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5724081505150952,1.0,1.0,1.0,1.0,1.0,0.3857535820420806,1.0,1.0,1.0,1.0,1.0,0.4741893322866226,1.0,1.0,1.0,1.0,1.0,0.3771251321753072,1.0,0.788206150032622
34HPLte,0.6365872461789088,1.0,1.0,1.0,1.0,1.0,0.7402609475217662,1.0,1.0,0.5312418557356157,1.0,1.0,1.0,1.0,1.0,0.5724081505150952,1.0,1.0,0.825570989656062,1.0,1.0,0.6062785783693501,1.0,1.0,0.4056318384620506,1.0,1.0,0.4741893322866226,1.0,1.0,0.6482247908458111,1.0,1.0,0.5350924120669295,0.7736220160538855,1.0
34HPLtm,0.6365872461789088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4543441905132898,1.0,1.0,1.0,1.0,1.0,0.5724081505150952,1.0,1.0,0.6787521526301774,1.0,1.0,0.6764227642276422,1.0,1.0,0.4056318384620506,1.0,1.0,0.4741893322866226,1.0,1.0,0.46630806914612466,1.0,1.0,0.4511970341184909,0.7736220160538855,0.788206150032622
34HPPte,1.0,1.0,1.0,1.0,1.0,1.0,0.9311804835185296,1.0,1.0,0.698411062577243,1.0,1.0,1.0,1.0,1.0,0.5724081505150952,1.0,1.0,1.0,1.0,1.0,0.5049600126352431,1.0,1.0,1.0,1.0,1.0,0.4741893322866226,1.0,1.0,0.6482247908458111,1.0,1.0,0.46334960198927205,0.7736220160538855,1.0
35DIODTYRte,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5724081505150952,1.0,1.0,0.6787521526301774,1.0,1.0,0.3857535820420806,1.0,1.0,1.0,1.0,1.0,0.4741893322866226,1.0,1.0,0.46630806914612466,1.0,1.0,0.3771251321753072,0.7736220160538855,1.0
3AIBt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7182009956890253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3857535820420806,1.0,1.0,0.4056318384620506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3771251321753072,1.0,0.788206150032622
