rxn,F_LFnC_(WT:KO),F_LFnC_(WT<KO),F_LFnC_(WT>KO),F_HFnC_(WT:KO),F_HFnC_(WT<KO),F_HFnC_(WT>KO),F_HFC_(WT:KO),F_HFC_(WT<KO),F_HFC_(WT>KO),F_(WT:KO),F_(WT<KO),F_(WT>KO),M_LFnC_(WT:KO),M_LFnC_(WT<KO),M_LFnC_(WT>KO),M_HFnC_(WT:KO),M_HFnC_(WT<KO),M_HFnC_(WT>KO),M_HFC_(WT:KO),M_HFC_(WT<KO),M_HFC_(WT>KO),M_(WT:KO),M_(WT<KO),M_(WT>KO),LFnC_(WT:KO),LFnC_(WT<KO),LFnC_(WT>KO),HFnC_(WT:KO),HFnC_(WT<KO),HFnC_(WT>KO),HFC_(WT:KO),HFC_(WT<KO),HFC_(WT>KO),(WT:KO),(WT<KO),(WT>KO)
13_CIS_RETNte,0.5,0.367544467966324,0.7891814893221081,0.25249253754692297,1.0,0.3333333333333332,0.09381616499744216,0.3333333333333332,1.0,0.25678963862893545,0.15461852312844906,0.7335793204938506,1.0,1.0,1.0,0.07864960352514258,0.051316701949486114,1.0,0.30962837708843105,0.552786404500042,0.552786404500042,0.3866175138631142,0.33750185654036463,0.33750185654036463,0.46167092009045324,0.15461852312844906,0.7335793204938506,0.1932381153856163,0.15461852312844906,0.7335793204938506,0.5,0.33750185654036463,0.33750185654036463,0.24468816097749713,0.33750185654036463,0.33750185654036463
1331TACRhr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.18703139874544122,0.3333333333333332,1.0,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0,0.17247128941430817,0.3333333333333332,1.0
1331TACRtev,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.18703139874544122,0.3333333333333332,1.0,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0,0.17247128941430817,0.3333333333333332,1.0
13DMThr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,0.18703139874544122,1.0,0.3333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,0.20232838096364303,1.0,0.3333333333333332,0.17247128941430817,1.0,0.3333333333333332
13DMTitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.1508497912391739,1.0,0.051316701949486114,0.3169340110727131,0.7335793204938506,0.15461852312844906,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0,0.10917734528295087,1.0,0.051316701949486114,0.2987223605233178,0.7335793204938506,0.15461852312844906
13DMTtep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.1508497912391739,1.0,0.051316701949486114,0.3169340110727131,0.7335793204938506,0.15461852312844906,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0,0.10917734528295087,1.0,0.051316701949486114,0.2987223605233178,0.7335793204938506,0.15461852312844906
13HTACRitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.18703139874544122,0.3333333333333332,1.0,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0,0.17247128941430817,0.3333333333333332,1.0
1513DTACRhr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.20232838096364303,1.0,0.3333333333333332,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0
1513DTALThr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.20232838096364303,1.0,0.3333333333333332,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0
1513TACRitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25249253754692297,1.0,0.3333333333333332,1.0,1.0,1.0,0.25249253754692297,0.3333333333333332,1.0,1.0,1.0,1.0,0.20232838096364303,1.0,0.3333333333333332,1.0,1.0,1.0,0.20232838096364303,0.3333333333333332,1.0,1.0,1.0,1.0
