rxn,F_LFnC_(WT:KO),F_LFnC_(WT<KO),F_LFnC_(WT>KO),F_HFnC_(WT:KO),F_HFnC_(WT<KO),F_HFnC_(WT>KO),F_HFC_(WT:KO),F_HFC_(WT<KO),F_HFC_(WT>KO),F_(WT:KO),F_(WT<KO),F_(WT>KO),M_LFnC_(WT:KO),M_LFnC_(WT<KO),M_LFnC_(WT>KO),M_HFnC_(WT:KO),M_HFnC_(WT<KO),M_HFnC_(WT>KO),M_HFC_(WT:KO),M_HFC_(WT<KO),M_HFC_(WT>KO),M_(WT:KO),M_(WT<KO),M_(WT>KO),LFnC_(WT:KO),LFnC_(WT<KO),LFnC_(WT>KO),HFnC_(WT:KO),HFnC_(WT<KO),HFnC_(WT>KO),HFC_(WT:KO),HFC_(WT<KO),HFC_(WT>KO),(WT:KO),(WT<KO),(WT>KO)
13_CIS_RETNte,1.0,1.0,1.0,0.5917571584198308,1.0,1.0,0.7165808337623772,1.0,1.0,0.5057988546225176,1.0,1.0,1.0,1.0,1.0,0.5587068915931912,1.0,1.0,0.6656610070738362,1.0,1.0,0.5415248679025438,1.0,0.9702917479831962,0.7100003798803274,1.0,1.0,0.42833896427926466,1.0,1.0,0.7710843373493976,1.0,1.0,0.4168998528841041,0.8176325129671733,0.7842146107540795
1331TACRhr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5587068915931912,1.0,1.0,1.0,1.0,1.0,0.3948133077019069,1.0,1.0,1.0,1.0,1.0,0.42833896427926466,1.0,1.0,1.0,1.0,1.0,0.3364504403111475,0.8176325129671733,1.0
1331TACRtev,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5587068915931912,1.0,1.0,1.0,1.0,1.0,0.3948133077019069,1.0,1.0,1.0,1.0,1.0,0.42833896427926466,1.0,1.0,1.0,1.0,1.0,0.3364504403111475,0.8176325129671733,1.0
13DMThr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6493780254684387,1.0,1.0,0.3948133077019069,1.0,0.9702917479831962,1.0,1.0,1.0,1.0,1.0,1.0,0.4775523771964567,1.0,1.0,0.3364504403111475,1.0,0.7842146107540795
13DMTitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5298204066558384,1.0,1.0,1.0,1.0,1.0,0.6493780254684387,1.0,1.0,0.48216951482444437,1.0,0.9702917479831962,0.36595046296032824,1.0,1.0,1.0,1.0,1.0,0.4775523771964567,1.0,1.0,0.42851207578517314,1.0,0.7842146107540795
13DMTtep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5298204066558384,1.0,1.0,1.0,1.0,1.0,0.6493780254684387,1.0,1.0,0.48216951482444437,1.0,0.9702917479831962,0.36595046296032824,1.0,1.0,1.0,1.0,1.0,0.4775523771964567,1.0,1.0,0.42851207578517314,1.0,0.7842146107540795
13HTACRitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5587068915931912,1.0,1.0,1.0,1.0,1.0,0.3948133077019069,1.0,1.0,1.0,1.0,1.0,0.42833896427926466,1.0,1.0,1.0,1.0,1.0,0.3364504403111475,0.8176325129671733,1.0
1513DTACRhr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5298204066558384,1.0,1.0,1.0,1.0,1.0,0.6493780254684387,1.0,1.0,1.0,1.0,1.0,0.36595046296032824,1.0,1.0,1.0,1.0,1.0,0.4775523771964567,1.0,1.0,1.0,1.0,1.0
1513DTALThr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5298204066558384,1.0,1.0,1.0,1.0,1.0,0.6493780254684387,1.0,1.0,1.0,1.0,1.0,0.36595046296032824,1.0,1.0,1.0,1.0,1.0,0.4775523771964567,1.0,1.0,1.0,1.0,1.0
1513TACRitr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5298204066558384,1.0,1.0,1.0,1.0,1.0,0.6493780254684387,1.0,1.0,1.0,1.0,1.0,0.36595046296032824,1.0,1.0,1.0,1.0,1.0,0.4775523771964567,1.0,1.0,1.0,1.0,1.0
